chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
35,7000,384,30,500,0,0,503,500,500,503,0,0,1.91,milp
35,7000,384,30,500,2,0,502,500,500,502,0,0,1.27,milp
35,7000,384,30,500,4,0,500,500,500,500,0,0,1.11,milp
35,7000,384,30,500,6,0,500,500,500,500,0,0,1.48,milp
35,7000,384,30,500,8,0,500,500,500,500,0,0,1.28,milp
35,7000,384,30,500,10,0,500,500,500,500,0,0,1.27,milp
35,7000,384,30,500,12,0,504,500,500,504,0,0,1.22,milp
35,7000,384,30,500,14,0,505,500,500,505,0,0,1.17,milp
35,7000,384,30,500,16,0,500,500,500,500,0,0,1.00,milp
35,7000,384,30,500,18,0,506,500,500,506,0,0,1.59,milp
35,7000,384,30,1500,0,0,1508,1500,1500,1508,0,0,2.47,milp
35,7000,384,30,1500,2,0,1523,1500,1500,1523,0,0,3.09,milp
35,7000,384,30,1500,4,0,1517,1500,1500,1517,0,0,2.94,milp
35,7000,384,30,1500,6,0,1510,1500,1500,1510,0,0,3.27,milp
35,7000,384,30,1500,8,0,1506,1500,1500,1506,0,0,2.92,milp
35,7000,384,30,1500,10,0,1510,1500,1500,1510,0,0,2.45,milp
35,7000,384,30,1500,12,0,1515,1500,1500,1515,0,0,4.28,milp
35,7000,384,30,1500,14,0,1515,1500,1500,1515,0,0,3.28,milp
35,7000,384,30,1500,16,0,1501,1500,1500,1501,1,0,2.89,milp
35,7000,384,30,1500,18,0,1519,1500,1500,1519,0,0,2.91,milp
35,7000,384,30,2500,0,0,2926,2500,2500,2926,0,0,6.08,milp
35,7000,384,30,2500,2,0,2934,2500,2500,2934,0,0,5.73,milp
35,7000,384,30,2500,4,0,2961,2500,2500,2961,1,0,5.45,milp
35,7000,384,30,2500,6,0,2948,2500,2500,2948,1,0,6.14,milp
35,7000,384,30,2500,8,0,2864,2500,2500,2864,1,0,6.53,milp
35,7000,384,30,2500,10,0,2992,2500,2500,2992,2,0,6.12,milp
35,7000,384,30,2500,12,0,2825,2500,2500,2825,2,0,3.62,milp
35,7000,384,30,2500,14,0,2969,2500,2500,2969,1,0,5.33,milp
35,7000,384,30,2500,16,0,2847,2500,2500,2847,2,0,5.41,milp
35,7000,384,30,2500,18,0,2988,2500,2500,2988,0,0,5.55,milp
35,7000,384,30,3500,0,0,33173,3500,3500,33173,4,0,13.80,milp
35,7000,384,30,3500,2,0,30482,3500,3500,30482,0,0,13.03,milp
35,7000,384,30,3500,4,0,36857,3500,3500,36857,4,0,14.84,milp
35,7000,384,30,3500,6,0,31588,3500,3500,31588,1,0,13.73,milp
35,7000,384,30,3500,8,0,27813,3500,3500,27813,3,0,11.86,milp
35,7000,384,30,3500,10,0,34288,3500,3500,34288,4,0,12.33,milp
35,7000,384,30,3500,12,0,30619,3500,3500,30619,5,0,11.27,milp
35,7000,384,30,3500,14,0,29361,3500,3500,29361,1,0,10.16,milp
35,7000,384,30,3500,16,0,27166,3500,3500,27166,5,0,12.16,milp
35,7000,384,30,3500,18,0,31368,3500,3500,31368,0,0,12.00,milp
chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
35,7000,384,30,500,0,0,503,500,500,503,0,0,2.98,milp
35,7000,384,30,500,2,0,502,500,500,502,0,0,2.98,milp
35,7000,384,30,500,4,0,500,500,500,500,0,0,3.25,milp
35,7000,384,30,1500,0,0,1508,1500,1500,1508,0,0,6.70,milp
35,7000,384,30,1500,2,0,1523,1500,1500,1523,0,0,6.59,milp
35,7000,384,30,1500,4,0,1517,1500,1500,1517,0,0,6.20,milp
35,7000,384,30,2500,0,0,2926,2500,2500,2926,0,0,12.11,milp
35,7000,384,30,2500,2,0,2934,2500,2500,2934,0,0,11.12,milp
35,7000,384,30,2500,4,0,2961,2500,2500,2961,1,0,11.22,milp
35,7000,384,30,3500,0,0,33173,3500,3500,33173,4,0,26.84,milp
35,7000,384,30,3500,2,0,30482,3500,3500,30482,0,0,26.11,milp
chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
35,7000,8832,30,500,0,466,37,34,500,503,0,0,50.23,milp
35,7000,8832,30,500,2,458,44,42,500,502,0,0,52.36,milp
35,7000,8832,30,500,4,452,48,48,500,500,0,0,52.91,milp
35,7000,8832,30,1500,0,1030,562,470,1500,1592,0,0,82.27,milp
35,7000,8832,30,1500,2,1035,534,465,1500,1569,0,0,50.19,milp
35,7000,8832,30,1500,4,1006,673,494,1500,1679,0,0,63.28,milp
chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
35,7000,384,30,500,0,500,3,0,500,503,0,0,3.20,milp
35,7000,384,30,500,2,500,2,0,500,502,0,0,2.94,milp
35,7000,384,30,500,4,500,0,0,500,500,0,0,2.88,milp
35,7000,384,30,1500,0,1500,8,0,1500,1508,0,0,6.22,milp
35,7000,384,30,1500,2,1500,23,0,1500,1523,0,0,6.52,milp
35,7000,384,30,1500,4,1500,17,0,1500,1517,0,0,6.42,milp
35,7000,384,30,2500,0,2500,426,0,2500,2926,0,0,13.34,milp
35,7000,384,30,2500,2,2499,434,1,2500,2933,0,0,13.41,milp
35,7000,384,30,2500,4,2500,462,0,2500,2961,1,0,13.39,milp
35,7000,384,30,3500,0,3497,29644,3,3500,33137,4,0,27.61,milp
35,7000,384,30,3500,2,3498,26963,2,3500,30461,0,0,28.53,milp
35,7000,384,30,3500,4,3495,33302,5,3500,36793,4,0,28.27,milp
35,7000,384,30,4500,0,4470,317182,30,4500,321644,8,0,70.28,milp
35,7000,384,30,4500,2,4470,304794,30,4500,309264,0,0,56.28,milp
35,7000,384,30,4500,4,4468,312848,32,4500,317309,7,0,48.80,milp
chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
35,7000,8832,30,500,0,466,37,34,500,503,0,0,61.80,milp
35,7000,8832,30,500,2,458,44,42,500,502,0,0,55.02,milp
35,7000,8832,30,500,4,452,48,48,500,500,0,0,63.78,milp
35,7000,8832,30,500,6,458,46,42,500,504,0,0,168.92,milp
35,7000,8832,30,500,8,448,52,52,500,500,0,0,132.33,milp
35,7000,8832,30,1000,0,797,215,203,1000,1012,0,0,190.55,milp
35,7000,8832,30,1000,2,805,203,195,1000,1008,0,0,185.86,milp
35,7000,8832,30,1000,4,782,224,218,1000,1006,0,0,88.06,milp
35,7000,8832,30,1000,6,812,192,188,1000,1004,0,0,100.47,milp
35,7000,8832,30,1000,8,798,207,202,1000,1005,0,0,199.86,milp
35,7000,8832,30,1500,0,1030,562,470,1500,1592,0,0,183.98,milp
